10;;;0.2153950106;0;10;0;0.07
9.8520188453;;;0.2127527438;0.0647715891;9.9898023767;0.0101976233;
9.7393626297;;;0.2101105501;0.0974543346;9.9807755487;0.009026828;
9.6567445333;;;0.2074684335;0.1248503371;9.9731596774;0.0076158713;
9.6014200085;;;0.2048264004;0.1495018755;9.9671249488;0.0060347286;
9.5716267963;;;0.2021844596;0.1723912474;9.9628161998;0.004308749;
9.5661044853;;;0.1995426225;0.1940203115;9.9603632728;0.002452927;
9.5838891863;;;0.1969009026;0.2146856036;9.9598855645;0.0004777082;
9.6242088504;;;0.1942593159;0.23457898;9.961494488;-0.0016089235;
9.6864235004;;;0.1916178807;0.2538325307;9.9652949654;-0.0038004774;
9.7699882802;;;0.1889766175;0.2725413973;9.9713864018;-0.0060914364;
9.8744292176;;;0.1863355495;0.2907764868;9.9798633518;-0.00847695;
9.9993265806;;;0.1836947016;0.3085920646;9.990815992;-0.0109526402;
10.1443030229;;;0.1810541015;0.3260305438;10.0043304651;-0.0135144731;
10.3090148848;;;0.1784137788;0.3431256407;10.0204891341;-0.0161586691;
10.4931456499;;;0.1757737655;0.3599045306;10.0393707737;-0.0188816396;
10.6964009209;;;0.1731340955;0.3763893664;10.0610507148;-0.021679941;
10.9185044913;;;0.1704948051;0.3925983755;10.0856009549;-0.0245502401;
11.1591952293;;;0.1678559326;0.4085466706;10.1130902432;-0.0274892883;
11.4182245719;;;0.1652175184;0.424246861;10.1435841452;-0.030493902;
11.6953544876;;;0.1625796048;0.4397095205;10.177145093;-0.0335609478;
11.9903558033;;;0.1599422362;0.454943552;10.2138324241;-0.0366873311;
12.3030068195;;;0.1573054589;0.469956475;10.2537024114;-0.0398699872;
12.6330921536;;;0.154669321;0.4847546551;10.2968082864;-0.043105875;
12.9804017702;;;0.1520338727;0.4993434893;10.3432002584;-0.046391972;
13.3447301614;;;0.1493991656;0.5137275568;10.3929255292;-0.0497252709;
13.7258756517;;;0.1467652533;0.5279107436;10.4460283063;-0.053102777;
14.1236398062;;;0.144132191;0.5418963454;10.5025498133;-0.0565215071;
14.5378269244;;;0.1415000355;0.5556871538;10.5625283012;-0.0599784878;
14.9682436072;;;0.1388688453;0.5692855281;10.6259990576;-0.0634707564;
15.4146983845;;;0.1362386802;0.5826934575;10.6929944177;-0.0669953601;
15.8770013953;;;0.1336096016;0.5959126125;10.7635437748;-0.0705493571;
16.3549641127;;;0.1309816722;0.6089443895;10.8376735923;-0.0741298175;
16.8483991062;;;0.128354956;0.6217899495;10.9154074165;-0.0777338242;
17.3571198385;;;0.1257295182;0.6344502505;10.9967658912;-0.0813584747;
17.8809404893;;;0.1231054253;0.6469260762;11.0817667733;-0.0850008821;
18.4196758054;;;0.120482745;0.659218061;11.1704249501;-0.0886581768;
18.9731409707;;;0.1178615456;0.671326711;11.2627524588;-0.0923275088;
19.5411514966;;;0.1152418969;0.6832524229;11.3587585072;-0.0960060483;
20.1235231277;;;0.1126238692;0.6949955003;11.4584494958;-0.0996909887;
20.720071762;;;0.1100075338;0.706556168;11.561829043;-0.1033795472;
21.3306133836;;;0.1073929626;0.7179345842;11.6688980104;-0.1070689674;
21.9549640065;;;0.1047802283;0.7291308512;11.7796545312;-0.1107565208;
22.5929396275;;;0.102169404;0.7401450251;11.894094039;-0.1144395078;
23.2443561875;;;0.0995605636;0.7509771236;12.0122092995;-0.1181152604;
23.90902954;;;0.0969537811;0.7616271336;12.1339904422;-0.1217811427;
24.5867754255;;;0.0943491309;0.7720950164;12.2594249951;-0.1254345529;
25.2774094514;;;0.0917466879;0.7823807138;12.3884979196;-0.1290729245;
25.9807470765;;;0.0891465267;0.7924841518;12.521191647;-0.1326937274;
26.6966035987;;;0.0865487225;0.8024052447;12.6574861163;-0.1362944693;
27.4247941469;;;0.08395335;0.8121438982;12.7973588125;-0.1398726963;
28.1651336744;;;0.0813604843;0.8217000118;12.9407848068;-0.1434259943;
28.917436955;;;0.0787701999;0.8310734805;13.0877367964;-0.1469519895;
29.6815185807;;;0.0761825714;0.840264197;13.2381851455;-0.1504483492;
30.4571929603;;;0.0735976726;0.8492720523;13.3920979276;-0.153912782;
31.2442743194;;;0.0710155774;0.8580969364;13.5494409666;-0.157343039;
32.0425766998;;;0.0684363587;0.8667387391;13.71017788;-0.1607369134;
32.8519139602;;;0.0658600891;0.8751973496;13.8742701209;-0.164092241;
33.6720997765;;;0.0632868404;0.8834726566;14.0416770212;-0.1674069003;
34.5029476407;;;0.0607166835;0.8915645477;14.2123558339;-0.1706788126;
35.3442708609;;;0.0581496885;0.8994729087;14.3862617757;-0.1739059418;
36.1958825589;;;0.0555859247;0.9071976228;14.5633480696;-0.177086294;
37.0575956682;;;0.0530254601;0.9147385693;14.7435659871;-0.1802179174;
37.9292229292;;;0.0504683616;0.9220956226;14.9268648892;-0.1832989022;
38.8105768847;;;0.0479146951;0.9292686506;15.1131922686;-0.1863273793;
39.7014698731;;;0.0453645248;0.9362575131;15.3024937892;-0.1893015207;
40.6017140199;;;0.0428179138;0.9430620607;15.4947133271;-0.1922195379;
41.5111212284;;;0.0402749236;0.9496821321;15.6897930094;-0.1950796823;
42.4295031676;;;0.0377356142;0.9561175534;15.8876732528;-0.1978802433;
43.356671259;;;0.0352000438;0.9623681352;16.0882928013;-0.2006195485;
44.2924366616;;;0.032668269;0.9684336716;16.2915887632;-0.2032959619;
45.2366102546;;;0.0301403446;0.9743139375;16.4974966472;-0.205907884;
46.1890026182;;;0.0276163232;0.9800086868;16.7059503972;-0.20845375;
