max_max;min_max;avg_max;max_avg;min_avg;avg_avg;trashdata;MovingAverage;Median;
0.887799153415;0.866851361992;0.875260422791;0.851631674649;0.847345161009;0.849925255868;0;0;0;
0.882900458239;0.873044371673;0.876850594623;0.852887680964;0.847181612374;0.850736059723;0;0;0;
0.880056677589;0.84997357955;0.861836868796;0.857150070638;0.844287869581;0.848993027439;0;0;0;
0.8774010694;0.850322376257;0.863190014331;0.85923996908;0.843954078951;0.849988829297;0;0;0;
0.87403061837;0.845041378904;0.859865776084;0.85883471068;0.841702549982;0.848413530701;0;0;0;
0.877248949338;0.84981350331;0.863789491885;0.860901638657;0.842479358772;0.849513805385;0;0;0;
0.883433448862;0.845437774147;0.864968989512;0.864404635232;0.842435970314;0.850764950685;0;0;0;
0.903422220925;0.847510846605;0.873991847601;0.867722197897;0.843233456793;0.852081953773;0;0;0;
0.906818463432;0.864216474466;0.881535212372;0.862505607795;0.849898862427;0.85529077984;0;0;0;
0.929676419426;0.86250384631;0.894210456761;0.864082712474;0.851296223979;0.85907976959;0;0;0;
0.882839225632;0.860965953232;0.873617145508;0.865432248849;0.847794283417;0.856893106959;0;0;0;
0.885877501192;0.861000299649;0.874360650624;0.861781403958;0.846490430803;0.854303346834;0;0;0;
0.934145999476;0.853386092143;0.884523608205;0.858572766027;0.845711492036;0.851078277966;0;0;0;
0.884202505156;0.849479732811;0.869069008736;0.856619062502;0.846088467107;0.851876966248;0;0;0;
0.895874673423;0.859064494906;0.877227548148;0.870011087121;0.847037027489;0.857190437861;0;0;0;
